nom_lieu,note_moyenne
Peron Café,3.5
Leroux Café,3.2
Hoarau SARL Café,3.6
Leduc S.A.R.L. Café,5.0
Dias Café,4.6
Marin S.A.S. Café,3.8
Hebert Café,4.3
Roux Café,4.4
Perrot et Fils Café,3.4
Mahe Café,4.3
Delahaye Meunier et Fils Café,3.6
Allard Lefèvre SARL Café,4.8
Rossi Café,3.9
Alves S.A.R.L. Café,5.0
Picard Tanguy S.A.S. Café,3.5
Couturier S.A. Café,4.7
Pons Leclercq S.A. Café,3.8
Paris Café,3.2
Berthelot Delattre S.A. Café,4.6
Aubry Café,4.9
Moreau S.A.R.L. Café,4.0
Georges Café,4.6
Guibert Chrétien et Fils Café,3.9
Barre Café,4.3
Rousset Café,3.3
Meunier Café,4.0
Blanchet Café,4.2
Hernandez Café,4.0
Brunel Café,4.1
Besnard Hamon S.A.S. Café,3.4
Traore Café,3.5
David S.A.S. Café,4.6
Louis Richard et Fils Café,3.8
Schmitt Café,4.5
Noël Café,4.1
Albert Goncalves SARL Café,4.8
Lamy Café,3.7
Boucher Café,3.8
Pinto SA Café,3.4
Vallet S.A.S. Café,4.8
Godard Gilbert S.A.S. Café,4.9
Samson Café,3.3
Fournier Café,4.9
Chrétien SARL Café,3.1
Loiseau S.A.S. Café,3.4
Collet Café,4.9
Chevallier Pichon et Fils Café,4.1
Cohen Barbier SARL Café,4.0
Hoarau Café,4.8
Roy Café,4.6
Rivière Café,3.5
Jacquot Café,4.9
Le Roux Café,3.9
Guillou S.A. Café,3.2
Lenoir Café,3.3
Le Gall Gaillard SARL Café,4.3
Muller Roche et Fils Café,3.6
Gros Rousseau S.A.R.L. Café,4.0
Diaz Café,4.9
Lopes Café,3.6
Pascal Café,3.9
Aubry Café,4.4
Leblanc Mary S.A. Café,4.0
Nicolas SARL Café,4.5
Ramos Café,4.2
Marion Café,3.5
Marin Robert SA Café,3.9
Lebrun Marchal SA Café,4.9
Cohen Café,3.4
Prévost S.A. Café,3.3
Guérin Café,3.0
Joly Café,4.7
Guillot SARL Café,3.1
Rivière SA Café,3.7
Guillaume Café,4.5
Carpentier Café,4.8
Faivre Café,3.7
Mahe Café,3.5
Descamps Morin SA Café,3.7
Laporte et Fils Café,3.5
Dumas Café,4.5
Tessier S.A.S. Café,4.5
Bègue Café,3.3
Dupuis Pineau S.A.R.L. Café,4.4
Da Costa Café,3.8
Ruiz SA Café,3.4
Loiseau Café,3.6
Dumas Reynaud S.A.S. Café,3.3
Étienne Perret S.A. Café,3.2
Dumas Gaudin S.A.R.L. Café,4.1
Richard Café,4.1
Bonnet Café,4.4
Carlier Poirier SA Café,4.1
Guillot Courtois S.A. Café,3.2
Girard Café,3.4
Renaud Café,3.1
Faure S.A.R.L. Café,3.9
Lemaire Café,4.7
Dijoux Café,3.8
Joseph Da Silva S.A.S. Café,3.9
Clément SA Café,3.4
Bouvier SA Café,4.5
Giraud Café,3.0
Couturier Rémy S.A.S. Café,3.7
Adam Hervé S.A.R.L. Café,3.3
Lambert Godard SA Café,3.6
Valentin S.A. Café,4.9
Petit David SA Café,5.0
Toussaint Café,4.2
Lemaire Parent SA Café,4.2
Renault Café,3.5
Didier Café,4.7
De Oliveira S.A.R.L. Café,3.7
Meyer Café,3.9
Prévost Café,3.7
Bazin Café,4.0
Humbert Clerc S.A.S. Café,4.4
Roux Barre S.A.R.L. Café,3.8
Martel Girard SARL Café,4.2
Seguin Café,4.7
Julien Café,4.7
Martin Café,3.4
Munoz S.A. Café,4.9
Charpentier Sanchez et Fils Café,4.7
Barthelemy S.A. Café,4.0
Barbe Café,4.2
Antoine Rodrigues SARL Café,3.9
Étienne Café,4.6
Perret Café,4.9
Bernard S.A.R.L. Café,3.5
Besnard S.A.R.L. Café,4.9
Raynaud Café,3.5
Bonnin Café,4.7
Breton Café,4.8
Lemaire et Fils Café,3.6
Menard Guilbert SA Café,3.5
Parent Michel SA Café,4.5
Langlois Andre S.A.R.L. Café,4.5
Lucas Café,3.9
Picard Café,3.1
Godard Café,3.3
Guillet Perret S.A.R.L. Café,5.0
Durand Café,4.9
Hubert Guérin S.A.S. Café,3.9
Joly Café,4.9
Ledoux Huet S.A.S. Café,4.2
Lebrun et Fils Café,3.8
Robin Café,3.5
Louis et Fils Café,4.2
Pelletier Café,4.3
Fontaine Martins S.A.S. Café,4.7
Lagarde Café,4.8
Pichon Café,3.6
Humbert et Fils Café,3.3
Guérin Ruiz et Fils Café,3.7
Vincent Café,4.4
Rémy Café,4.8
Morin SA Café,4.1
Petitjean Café,4.7
Bouvier Café,3.3
Gomes Pineau et Fils Café,4.5
Hamon Café,4.6
Lecomte S.A.R.L. Café,3.4
Hernandez SARL Café,3.5
Masson SARL Café,3.4
Gosselin S.A.R.L. Café,3.2
Gauthier Café,3.1
Perrier Imbert et Fils Café,4.0
Michaud Buisson et Fils Café,4.6
Teixeira Café,3.8
Marin S.A.S. Café,4.7
Prévost et Fils Café,3.7
Mahe Café,4.4
Gillet SA Café,3.9
Gaudin Café,4.7
Boutin S.A.R.L. Café,3.1
Martinez Café,4.0
Bertin Café,4.1
Deschamps Laine S.A.R.L. Café,3.6
Hardy Gautier S.A.R.L. Café,3.9
Giraud Café,4.9
Roux SA Café,4.5
Guérin Café,3.2
Albert SA Café,3.2
Peron S.A. Café,3.9
Bailly Lebreton S.A.R.L. Café,3.4
Delaunay Café,4.6
Allain Café,4.6
Bègue Joly et Fils Café,4.0
Mathieu Café,3.4
Foucher Café,4.7
Goncalves Pages S.A.S. Café,4.8
Bernier S.A. Café,3.8
Dupuy Café,3.9
Breton Fischer SARL Café,3.5
Aubry Café,4.0
Lamy Café,3.1
Laroche Leroy SARL Café,3.8
Bourdon et Fils Café,3.6
Legros Vasseur et Fils Café,4.6
Pineau Café,4.0
Renard Langlois S.A.R.L. Café,3.5
Le Roux Delannoy et Fils Café,4.1
Grégoire David S.A.S. Café,4.6
Klein Café,4.5
Bernier Café,3.6
Garnier SA Café,3.2
Ruiz Café,4.5
Rivière Café,3.7
Léger Café,4.5
Gérard SA Café,4.6
Brunel Café,4.3
De Oliveira Gay S.A.R.L. Café,3.3
Mercier Café,4.4
Texier Thibault SARL Café,3.3
Boucher Barbe SA Café,4.0
Rolland SARL Café,4.8
François S.A.R.L. Café,3.6
Raynaud S.A. Café,4.3
Turpin Café,4.9
Faivre Café,4.0
Lemaître Café,5.0
Lemoine Café,4.0
Colas Léger S.A. Café,4.2
Mallet Café,4.4
Lacroix Café,4.1
Lesage Café,3.1
Dupuis SA Café,3.2
Pasquier Jacquet S.A.S. Café,4.4
Paul Neveu SARL Café,3.2
Allard SARL Café,4.1
Lefort et Fils Café,3.8
Tanguy Café,4.3
Ramos Café,3.5
Cordier Café,3.3
Daniel Café,4.0
Dumas S.A. Café,3.2
Bourgeois Café,3.6
Lemaître et Fils Café,3.0
Masson SA Café,4.2
Rocher Café,3.7
Laurent Café,4.0
Grenier Weiss S.A.R.L. Café,3.5
Toussaint Café,3.1
Vallée Bègue S.A. Café,5.0
Gomes Café,4.8
Leroux Devaux et Fils Café,3.5
Benard SARL Café,4.5
Dupré Café,3.8
Devaux Café,4.8
Pons Ramos S.A. Café,4.2
Bouchet Café,3.1
Mace S.A.S. Café,3.6
Barthelemy SA Café,3.5
Cousin Café,4.9
Dupré Fouquet SA Café,3.9
Adam S.A.R.L. Café,3.9
Laroche Café,3.6
Vidal S.A. Café,3.1
Valentin S.A.R.L. Café,3.0
Blanchet Chevallier S.A. Café,4.2
Pineau Barbier S.A.R.L. Café,3.0
Brun S.A. Café,4.3
Perrier Café,3.6
Thibault et Fils Café,3.1
Jacquet Bigot SARL Café,4.9
Valette Café,4.4
Roche Café,4.4
Fischer S.A. Café,4.8
Ribeiro SA Café,3.2
Rousseau Delahaye S.A.R.L. Café,3.3
Guyon Café,4.7
Fontaine Café,3.5
Verdier Café,4.8
Raynaud Café,4.7
David et Fils Café,4.8
Perrot Café,3.9
Barbier Café,3.5
Clément Café,3.0
Hardy Café,4.0
Clerc Schneider et Fils Café,4.4
Garnier S.A.R.L. Café,4.1
Alves Café,4.9
Salmon Alves SARL Café,4.7
Martineau Duval SA Café,4.4
Thomas Café,3.1
Ramos S.A.R.L. Café,3.5
Raymond S.A.R.L. Café,3.6
Marie Humbert SA Café,3.3
Bodin Gomes SARL Café,4.4
Mercier Costa SARL Café,3.0
Texier Café,4.2
Pereira Marin S.A.R.L. Café,4.9
Giraud Café,3.3
François Café,3.7
Bègue Café,4.5
Gaudin SARL Café,4.9
Da Silva Étienne SA Café,3.3
Colin Pruvost et Fils Café,3.6
Mallet et Fils Café,3.9
Benard S.A.R.L. Café,3.7
Bigot Café,3.2
Joseph Café,3.4
Raymond Café,3.4
Royer Café,4.5
Guillet Café,4.6
Dupuis Café,4.6
Besnard Café,4.4
Collet Café,4.2
Laroche Café,3.5
Fischer Café,4.8
Fontaine Café,4.8
Pelletier Café,4.0
Berthelot Morin et Fils Café,4.6
Vidal S.A. Café,3.9
Léger SA Café,3.4
Maurice S.A.R.L. Café,3.3
Benoit Garnier SARL Café,4.9
Dos Santos Leduc SARL Café,3.4
Roche S.A.R.L. Café,3.2
Blot Café,3.9
Vaillant Café,4.1
Moreno Café,3.5
Letellier Café,3.0
Normand Café,4.3
Benard Guillaume S.A. Café,5.0
Guyot Café,4.8
Martinez S.A.S. Café,4.3
Blin Giraud SARL Café,4.7
Deschamps Marchand et Fils Café,3.5
Laporte Café,4.1
Boutin Café,4.7
Arnaud Café,4.9
Ribeiro et Fils Café,4.0
Roux SARL Café,3.9
Carlier Café,3.4
Michel Café,3.2
Pichon et Fils Café,4.1
Roger Café,3.9
Guillet Café,4.5
Techer Café,3.2
Morin Café,4.2
Charles Café,4.2
Royer Café,4.8
Barbier Gomez S.A. Café,3.8
Martin Café,3.6
Le Gall Café,4.8
De Oliveira Café,4.4
Michaud Café,3.8
Ribeiro Café,4.0
Launay Café,4.7
Nicolas Café,3.6
Gautier Peron S.A. Café,3.3
Guillaume Café,3.4
Reynaud Café,4.0
Deschamps Café,3.6
Joly Café,3.0
Rey S.A.S. Café,4.0
Poirier Laporte S.A. Café,3.6
Guillet Bernier S.A. Café,4.8
Nicolas Cousin S.A. Café,3.6
Moreno S.A.R.L. Café,3.1
Dias Hardy SARL Café,3.5
Klein et Fils Café,3.6
Lemaître SA Café,3.6
Jacob Café,3.6
Royer Boutin et Fils Café,3.1
Gallet Café,4.2
Collet Café,3.2
Boyer Leduc S.A.R.L. Café,3.9
Launay Café,4.0
Pelletier SARL Café,4.2
Pages Laroche SA Café,3.3
Salmon S.A.S. Café,3.5
Hervé Café,3.4
Georges Café,4.6
Giraud Café,4.1
Meyer SARL Café,3.8
Alexandre SARL Café,4.2
Didier S.A.R.L. Café,4.4
Henry Café,3.5
Salmon Café,4.7
Seguin Rolland S.A.S. Café,3.9
Bruneau S.A. Café,4.7
Morin S.A.R.L. Café,3.4
Millet Café,3.5
Martel Café,4.6
Vaillant Café,4.4
Laroche Café,4.6
Briand Jacquot S.A. Café,4.4
Lemoine Café,4.1
Vasseur Gay S.A.R.L. Café,3.3
Bigot Café,5.0
Giraud Masse S.A.S. Café,3.7
Maillot Letellier S.A.S. Café,5.0
Bourdon Café,4.2
Berthelot S.A. Café,3.0
Samson Café,3.4
Simon Lamy SARL Café,3.6
Paul Café,4.8
Lombard Royer S.A.S. Café,4.7
Mahe Pineau S.A. Café,4.4
Bailly Café,3.1
Roux Thomas S.A.R.L. Café,3.8
Hoareau Café,4.5
Loiseau SARL Café,4.2
Rossi Rolland et Fils Café,4.3
Pages Café,4.2
Salmon Café,3.4
Guillot Nicolas S.A.R.L. Café,4.8
Étienne S.A.S. Café,3.7
Maréchal Letellier S.A.S. Café,4.7
Gilles S.A.S. Café,3.9
Vallet Seguin SARL Café,3.5
Potier Lopez S.A. Café,4.4
Albert Nicolas S.A.S. Café,3.2
Blin Café,3.6
Colin Laporte S.A.S. Café,3.8
Godard Café,4.1
Raynaud Café,4.5
Riou Café,3.0
Prévost Maillot SARL Café,4.7
Robin Café,4.6
Ribeiro Café,3.9
Julien Café,4.2
Gilbert Café,3.5
Nicolas S.A. Café,3.0
Martineau Café,4.8
Camus SARL Café,4.9
Pons Café,3.8
De Sousa Café,3.1
Collin Georges SA Café,4.3
Bodin Café,3.8
Leclerc Mallet et Fils Café,4.9
Voisin Café,4.1
Aubry et Fils Café,4.3
Hoareau Café,4.1
Royer Café,4.2
Millet Café,3.6
Renault Café,4.1
Pereira Café,4.0
Dupont S.A. Café,3.6
Gilbert Café,3.3
Colas Café,4.4
Blondel Café,3.7
Fernandez Café,3.5
Duval Café,4.2
Bigot et Fils Café,3.9
Allard Maurice SARL Café,4.8
Mendès SA Café,4.9
Tessier Café,4.2
Dupré Café,4.1
Potier S.A.R.L. Café,3.3
Brunet Maury S.A. Café,3.7
Normand Café,3.5
Lemonnier et Fils Café,4.5
Mallet Raymond S.A. Café,3.0
Turpin Café,4.4
Leclerc Café,4.3
Fontaine Barbe et Fils Café,3.6
Goncalves et Fils Café,3.8
Dias Café,4.9
Chauvet Café,4.7
Chrétien Café,4.5
Potier Guillou S.A.R.L. Café,4.1
Vincent Georges S.A.S. Café,3.6
Valentin Roy SA Café,4.9
Lebon Café,3.3
Ferreira Café,4.7
Blin Café,3.3
Pires Café,3.1
Costa S.A.S. Café,3.1
Brunet et Fils Café,4.8
Peltier S.A. Café,4.3
Gilles Gay SA Café,4.9
Paul Leclerc et Fils Café,3.5
Dupont Café,4.5
Bigot Café,3.8
Dias Café,3.3
François Café,3.9
Letellier Café,4.8
Berger Pichon S.A.S. Café,4.0
Chauvet Café,4.1
Bouchet Café,4.6
Blanchet Chartier S.A. Café,4.2
Jacob Barbier SA Café,4.2
Pinto Torres S.A.S. Café,4.6
Bouvier Café,3.6
Perrin Café,4.9
Marty SARL Café,4.3
Pages Robert S.A.S. Café,3.0
Leduc Café,3.6
Rodrigues Pottier S.A.S. Café,5.0
Rivière Café,4.6
Rocher Café,3.9
Pichon Bazin S.A. Café,3.2
Sanchez et Fils Café,4.3
Courtois Lemonnier SARL Café,3.1
Marchand Café,4.2
Gautier Georges S.A. Café,4.6
Costa SARL Café,4.7
Bonnet SA Café,4.5
Masson Chauvet S.A.R.L. Café,4.7
Lemonnier Camus SARL Café,4.9
Reynaud Café,5.0
Benard SARL Café,4.8
Delattre Martinez SA Café,4.7
Da Costa et Fils Café,3.6
Daniel Café,4.8
Laine Café,3.9
Colas SARL Café,3.0
Masse Café,3.9
Durand SARL Café,4.4
Giraud SARL Café,3.2
Ledoux Café,4.1
Benard Café,4.8
Gaudin Café,4.5
Lebrun Renault S.A. Café,4.0
Guibert Café,4.4
Delahaye Café,4.0
Pascal SA Café,4.2
Gilbert SA Café,4.2
Techer et Fils Café,4.1
Leroux Cohen et Fils Café,4.8
Raymond S.A.S. Café,3.7
Bourgeois Café,3.9
Texier Café,4.3
Becker Café,4.6
Grégoire Pascal S.A. Café,3.5
Didier S.A.S. Café,3.4
Albert Hamon S.A.R.L. Café,3.9
Navarro Morvan S.A. Café,4.9
Hubert Hervé S.A.S. Café,3.8
Martins Vincent SA Café,4.2
Maury SARL Café,4.9
Bousquet Café,4.9
Giraud Café,4.6
Albert Schmitt S.A.R.L. Café,3.7
Leblanc Café,4.3
Weiss Picard SA Café,4.2
Camus S.A. Café,3.7
Hoareau Café,3.8
Roux Café,4.6
Renaud S.A. Café,3.9
Leclercq Traore S.A. Café,3.0
Toussaint Café,3.5
Guillot Café,4.2
Baron SA Café,4.1
Collet SA Café,3.7
Martins Breton et Fils Café,3.1
Bègue Café,3.7
Gomes Café,3.8
Godard Café,4.9
Dupuy Bigot S.A. Café,3.9
Lacombe Gérard S.A.R.L. Café,4.5
Delannoy S.A.R.L. Café,3.6
Weiss Café,3.2
Schneider Café,4.8
Millet S.A. Café,4.9
Hamel S.A.S. Café,3.4
Perret Café,3.7
Bailly Café,3.7
Guillot S.A.R.L. Café,4.1
Lacombe et Fils Café,3.6
Delattre Clément SARL Café,3.3
Garnier Café,4.8
Hoarau Café,4.7
Goncalves S.A. Café,3.0
Picard S.A.R.L. Café,3.3
Andre SARL Café,4.0
Maillard SA Café,3.8
Martineau Café,3.9
Guyon Café,3.7
Delorme Café,3.4
Boulay Guibert S.A. Café,3.7
Seguin Chauveau SARL Café,4.5
Pierre Café,3.7
Le Gall SARL Café,4.5
Valette SA Café,3.3
Leduc Café,3.6
Dufour Café,3.6
Gautier Café,4.3
Schmitt Café,4.4
Charpentier Le Goff S.A. Café,4.1
Thomas Lopez SARL Café,5.0
Maillard SARL Café,5.0
Marin Café,3.8
Delaunay Café,3.3
Le Goff Rodriguez S.A. Café,5.0
Gaillard Café,4.8
Gros Café,4.8
Perret Café,3.2
Mallet et Fils Café,4.2
Vaillant Carre SARL Café,3.9
Vallée Café,3.7
Mary Pelletier et Fils Café,4.6
Moreau Boulanger S.A.R.L. Café,4.6
Diaz Café,3.3
Blanc Weiss S.A.S. Café,4.7
Blanchard Café,3.8
Pereira Café,4.1
Evrard SA Café,4.2
Chauveau Café,3.5
Blot Café,4.5
Guillet De Sousa SARL Café,3.5
Maréchal Café,3.4
Tanguy Allard S.A.S. Café,4.0
Lelièvre et Fils Café,4.3
Petit Café,4.7
Gomez Café,4.7
Laporte Café,4.6
Lefèvre S.A.R.L. Café,4.2
Sauvage Café,3.7
Tessier et Fils Café,3.5
Raynaud Café,3.0
Camus Café,4.1
Lelièvre Le Goff S.A. Café,4.1
Carpentier Café,4.8
Guérin S.A. Café,3.2
Ferreira Boutin S.A.S. Café,3.7
Maury Pinto S.A.R.L. Café,4.5
Bourdon Café,3.5
Samson Café,4.8
Blot Café,4.1
Leconte S.A. Café,3.8
Marchand Café,3.7
Leclercq Café,3.1
Giraud Baron S.A. Café,4.6
Lacroix Café,4.2
Lesage S.A.R.L. Café,4.2
Dupont Pires S.A.S. Café,5.0
Delannoy Café,3.9
Maillard et Fils Café,3.4
Boulanger Café,3.9
Labbé Lefort SA Café,4.4
Muller Chauvet S.A. Café,4.8
Barre Café,4.2
Robert Café,3.8
Marty Café,4.9
Lejeune Perrier SA Café,3.4
Nicolas Café,4.6
Imbert Blot et Fils Café,3.7
Langlois Robin et Fils Café,3.2
Dupuy SARL Café,3.6
Mercier S.A.R.L. Café,3.2
Blanchet S.A.S. Café,4.6
Schneider Café,4.1
Gallet Étienne et Fils Café,4.7
Dupont Café,3.9
Legendre Café,3.4
Girard David et Fils Café,4.0
Gomez Bernard S.A.R.L. Café,4.2
Maréchal SARL Café,4.2
Tessier Lemaire S.A. Café,4.3
Rivière Gilles S.A.S. Café,4.0
Boyer Café,4.3
Poirier S.A.R.L. Café,4.4
Lopez S.A.R.L. Café,4.9
Ribeiro Café,3.6
Valentin Café,4.5
Bègue Café,4.1
Berthelot Dubois et Fils Café,4.0
Roche Café,4.1
Guillot Lopez S.A.R.L. Café,3.6
Le Gall Café,3.7
Jacques S.A.R.L. Café,3.6
Joubert Café,4.1
Ferreira Café,4.3
Pasquier Bruneau S.A.R.L. Café,4.9
Morin Café,3.6
Baron Jourdan S.A.S. Café,4.8
Morvan Laroche S.A.S. Café,3.2
Carlier Café,4.2
Tessier Café,4.6
Wagner S.A.R.L. Café,4.9
Bodin Bègue SARL Café,3.9
Brun Café,4.6
Neveu S.A. Café,4.1
Duval S.A.S. Café,4.9
Fischer Lemaître SA Café,4.7
Berger Dupuis SARL Café,3.9
Petit Café,3.5
Dubois Café,4.0
Leclerc Café,4.3
Bernard S.A.S. Café,4.4
Lemaire SARL Café,4.5
Maury Café,3.4
Buisson Café,3.7
Chauveau Café,3.1
Cohen Café,4.2
Lopes Gimenez SARL Café,3.9
Gillet Café,4.8
Rodriguez S.A.R.L. Café,4.3
Martineau Martins S.A. Café,4.3
Sanchez Café,3.6
Georges Café,3.9
Hubert Café,3.7
Voisin Café,4.2
Guyon Café,4.4
Thierry Café,3.8
François S.A.R.L. Café,3.8
Muller Jacques et Fils Café,4.6
Weber Café,3.9
Gérard S.A. Café,3.3
Perrier SA Café,3.1
Evrard Café,3.8
Rolland Café,3.2
Rivière Café,3.8
Delannoy SARL Café,5.0
Gonzalez Café,3.6
Thibault Café,3.8
Hernandez Café,3.0
Lagarde S.A.S. Café,4.6
Chevallier Café,3.6
Leroy SA Café,4.9
Deschamps Café,4.5
Menard Café,3.8
Benard S.A.R.L. Café,3.4
Pierre SARL Café,3.3
Lambert SA Café,3.7
Ollivier Café,4.6
Guillaume Hervé S.A. Café,3.7
Da Costa Blin et Fils Café,3.5
Da Silva et Fils Café,4.9
Poirier S.A.S. Café,3.3
Moreno Café,3.3
Étienne Ruiz S.A.S. Café,3.5
Robin S.A.S. Café,3.3
Gimenez Café,3.1
Dupré Café,3.5
Valentin Café,3.2
Royer Riou S.A. Café,4.7
Lecomte Café,3.0
Techer Café,3.8
Nguyen Alexandre SA Café,3.2
Traore Café,4.7
Ferrand S.A. Café,4.1
Perez et Fils Café,4.4
Dubois S.A.S. Café,4.5
Bodin Petitjean S.A. Café,5.0
Rossi Café,3.4
François et Fils Café,4.6
Aubry Café,3.5
Leblanc Café,3.4
Cousin Techer et Fils Café,3.1
Breton Café,3.2
Samson SARL Café,3.6
Martinez Café,3.5
Le Gall Café,3.3
Pascal Café,3.2
Laine Benard SARL Café,4.5
Faure Café,3.1
Delahaye Café,4.4
Girard Café,4.2
Martins Weber S.A.R.L. Café,3.8
Bailly SA Café,4.6
Ramos Café,4.1
Delattre Café,3.6
Faivre Café,3.5
Gosselin Café,4.0
Berger S.A. Café,3.6
Wagner Café,4.7
Perez Café,3.9
Bousquet S.A.R.L. Café,3.6
Thibault SARL Café,4.3
Chauvin Café,4.1
Guillot et Fils Café,4.0
Charpentier Café,3.5
Collet S.A.R.L. Café,4.4
Blanchet SA Café,4.8
Hernandez Café,3.4
Leblanc Café,4.6
Laurent Cousin et Fils Café,4.1
Tessier Bourgeois S.A. Café,3.5
Leduc Café,4.5
Marin et Fils Café,3.3
Weiss Café,4.6
Pinto Café,3.7
Lesage Café,4.0
Munoz Café,3.2
Marchand Café,3.9
Alves S.A.R.L. Café,3.0
Hardy SA Café,3.1
Legendre Café,3.3
Dumas Da Costa SARL Café,4.8
Lelièvre SARL Café,4.0
Boulay Café,4.1
Paul et Fils Café,4.7
Riou SARL Café,3.8
Perrin S.A.R.L. Café,4.8
Lagarde Café,3.8
De Sousa Café,4.3
Traore S.A.R.L. Café,4.0
Lefèvre Café,3.5
Pascal Café,3.6
Gomes Café,4.6
Dupont Café,3.8
Nguyen S.A. Café,3.1
Deschamps Café,3.7
Rocher SA Café,3.3
Breton Café,5.0
Chevallier Café,4.8
Michaud Allard S.A.S. Café,4.0
Hernandez Café,4.9
Roger Café,5.0
Lecomte Café,3.5
Torres Benard SA Café,3.0
Pires S.A.S. Café,3.0
Hardy Café,3.8
Moulin Leroux et Fils Café,4.4
Payet Café,3.2
Daniel S.A.S. Café,4.1
Duhamel Besson SA Café,4.0
Rivière SARL Café,4.6
Boyer et Fils Café,4.2
Boyer SA Café,4.5
Duval Café,5.0
Lagarde Café,4.1
Paul S.A.S. Café,3.8
Samson et Fils Café,3.9
Dias Café,4.7
Thibault Parent SARL Café,3.1
Lambert et Fils Café,3.6
Bonnin Lebrun SARL Café,4.5
Michel Café,4.4
Bigot Café,4.5
Godard Café,3.8
Marques Café,3.0
Bazin Café,3.5
Peltier Café,4.1
Roche SA Café,4.2
Meunier Hamon S.A.R.L. Café,4.1
Delaunay Café,4.2
Bourgeois S.A.R.L. Café,4.9
Guilbert Ruiz SARL Café,4.0
Jacquot Vidal S.A.S. Café,4.2
Peltier Café,3.3
Andre Café,3.1
Bodin Café,4.4
Diallo Café,4.8
Dijoux Café,4.9
Samson Café,3.8
Lemonnier Café,4.7
Bouchet Café,4.9
Vallée S.A.S. Café,4.9
David Guillon SA Café,3.6
Jourdan Café,4.2
Bernard Bouvier S.A.R.L. Café,3.7
Delaunay Lopes S.A.R.L. Café,3.7
Berger Café,4.8
Collet Café,4.9
Guyon Labbé SARL Café,3.2
Techer Café,4.0
Diallo S.A. Café,3.6
Regnier Café,3.3
Blanchard Munoz S.A.R.L. Café,3.7
Meyer Café,4.5
Fournier Lopez SARL Café,3.6
Fontaine Teixeira S.A.R.L. Café,3.4
Guibert S.A.S. Café,4.3
Schneider Leduc SA Café,4.9
Sauvage Bouvet S.A.S. Café,4.5
Morvan Café,4.5
Richard Café,3.8
Bourdon Café,3.1
Maurice Café,4.3
Barthelemy Le Goff et Fils Café,3.5
Valentin Café,4.5
Rivière SARL Café,4.9
Rolland Café,4.9
Lemaire Café,3.4
Moreno Wagner S.A.R.L. Café,3.7
Lamy Noël S.A. Café,3.8
Barbier et Fils Café,4.0
Pineau Noël et Fils Café,4.9
Boulay Café,3.9
Georges Café,3.2
Marin S.A. Café,3.5
Ledoux Café,3.3
Teixeira Mathieu S.A.S. Café,3.1
Collin Café,3.3
Guillet Café,3.4
Delorme Café,4.8
Monnier Café,5.0
Becker Café,4.1
Boucher Café,3.0
Leleu Café,3.5
Roche Café,4.7
Costa Peltier S.A. Café,3.1
Vincent Café,3.2
Launay SA Café,3.4
Labbé Café,3.8
Ollivier Teixeira S.A. Café,3.3
Chauvin Café,4.0
Leclerc Vincent S.A. Café,3.2
Carre Café,3.3
Roger SARL Café,3.0
Chrétien S.A. Café,3.3
Vallet Café,3.2
Gautier S.A.R.L. Café,4.7
Giraud SARL Café,4.8
Perez Perrin S.A.R.L. Café,3.1
Roux Schmitt S.A.S. Café,4.6
Vidal S.A. Café,4.9
Allain Huet et Fils Café,4.6
Lacombe Café,4.4
Guillon et Fils Café,3.3
Blanchet Café,4.4
Guillet S.A.S. Café,3.2
Vasseur S.A.R.L. Café,4.5
Antoine Gimenez SA Café,4.1
Klein Café,3.9
Dumont Café,4.6
Mathieu Café,4.2
Dos Santos Lemoine SA Café,4.0
Thomas S.A. Café,4.8
Lacombe S.A.R.L. Café,3.1
Pineau Café,4.4
Mallet Schneider S.A. Café,4.5
Gomes Henry SA Café,3.5
Antoine Café,4.2
Goncalves Café,4.8
Perrin SA Café,4.5
Perrot Café,4.9
Lombard Pichon S.A.R.L. Café,3.4
Cohen et Fils Café,3.8
Vallée Salmon S.A.S. Café,4.0
Collet Mary S.A.S. Café,4.6
Lecoq Café,5.0
Leroy Café,4.6
Bouchet Verdier SARL Café,3.4
Marin Courtois SARL Café,3.2
Bernard Café,4.2
Dupont David S.A.S. Café,4.8
Vincent Peltier SA Café,4.5
Hardy Café,4.5
Lopes S.A.S. Café,4.9
Dupré S.A. Café,4.8
Texier Café,3.5
Lévêque Perrin S.A.R.L. Café,3.8
Bodin Maillot et Fils Café,3.1
Chauvet Café,3.8
Vallet SA Café,5.0
Martins SARL Café,4.8
Gaudin Café,4.7
Legendre Godard S.A.S. Café,4.0
Goncalves Café,3.8
Hernandez Café,4.1
Lesage Café,4.1
Laine Café,3.9
Fournier Café,3.7
Diallo Café,3.6
Paul SA Café,5.0
Collet Café,3.9
Benard Café,4.2
Gaudin Café,3.3
Lévêque Café,4.6
Lucas Pinto SARL Café,4.6
Briand Café,3.8
Lemaire Seguin S.A.R.L. Café,5.0
Renaud Café,4.5
Mendès Grondin SA Café,4.6
Arnaud Café,4.9
Delahaye S.A.R.L. Café,4.6
Alves Café,3.8
Gilbert SARL Café,3.5
Maurice Café,4.2
Sanchez Café,3.5
Sauvage Café,3.1
Pinto Café,3.2
Jacquot Café,3.7
Lefèvre Café,3.4
Blin Da Costa S.A. Café,3.8
Tanguy S.A. Café,4.1
Poulain S.A.R.L. Café,3.2
Le Roux Café,4.1
Bruneau Gosselin SA Café,3.8
Chauveau S.A.R.L. Café,3.6
Maillard S.A. Café,4.0
